Price,Close,High,Low,Open,Volume
Ticker,INTU,INTU,INTU,INTU,INTU
Date,,,,,
2020-01-02,255.5235137939453,255.94593252087307,250.6465082368742,250.6465082368742,1124500
2020-01-03,253.81472778320312,254.76515556595962,250.99221509099615,251.1554050647925,798500
2020-01-06,255.76356506347656,255.97477446159178,251.30897750250685,251.42420659985558,1026100
2020-01-07,255.82115173339844,256.82917922344524,254.74591459787794,256.1475609139661,915100
2020-01-08,261.97503662109375,263.7894922537364,256.13799223796747,257.2900489524848,1373900
2020-01-09,264.4278869628906,266.7075989121977,263.1485652211606,263.5621776518294,1076300
2020-01-10,264.76446533203125,265.96684710011493,263.3985467272778,265.9572186523627,1127400
2020-01-13,265.52435302734375,267.2653993099462,264.36042645332276,265.80328443481784,1697600
2020-01-14,262.2924499511719,265.78417248169023,261.7249290875801,265.1300836241642,1216400
2020-01-15,262.60028076171875,265.56293767973807,262.2251234130709,263.38905055500265,1147300
2020-01-16,266.32281494140625,266.34207184179394,262.8984331459433,264.17778411041826,834700
2020-01-17,272.07501220703125,272.2192921799369,265.8226256375274,267.88108841271765,2172700
2020-01-21,274.1526794433594,274.3931558038816,270.81486638511,271.07457028666516,1636000
2020-01-22,279.22186279296875,280.3857599593986,274.98948544275333,275.22996176214076,2611200
2020-01-23,277.586669921875,281.5304882526353,277.37504954251636,278.69288470558286,1659500
2020-01-24,277.105712890625,281.8383006852366,276.3169727207107,278.952584295968,1089900
2020-01-27,272.9503479003906,275.08577954923607,270.30510744756555,270.757204262795,881200
2020-01-28,277.1827087402344,277.53860909940755,272.1615605600781,273.5755629026229,840900
2020-01-29,275.0281066894531,278.70256436778396,273.0754391788487,278.31780793636597,858100
2020-01-30,275.71099853515625,275.91299048567487,271.69024029325317,273.36394659332143,785000
2020-01-31,269.6990051269531,275.5666331629613,269.09300010819055,274.9125152675396,1268800
2020-02-03,272.02679443359375,274.88365421579147,270.7474733603623,272.7674802673235,1042000
2020-02-04,279.8374938964844,281.6458511447818,273.6139656291227,276.22072068985113,1345700
2020-02-05,278.7698669433594,287.4366460216547,275.7013856499905,287.4366460216547,1060700
2020-02-06,283.00225830078125,283.1176822841109,278.76987923351606,280.73217501521435,1000700
2020-02-07,283.4831848144531,284.5028023792397,280.01071976655385,282.0018713592145,921600
2020-02-10,286.3978271484375,286.66715960166863,282.88687680469866,283.8102981650575,1139800
2020-02-11,285.60894775390625,288.5331188650461,285.20493459307926,288.4754068927882,903500
2020-02-12,287.2731018066406,287.4847222130168,283.40625185925234,285.6859634363335,792300
2020-02-13,286.493896484375,289.1006518595795,285.54161954637163,285.96486026437816,721200
2020-02-14,292.6982116699219,292.84249161349385,286.128381140711,287.1864829852791,855300
2020-02-18,292.0056457519531,293.21762666272554,290.51467468505456,292.37117452132213,888200
2020-02-19,293.9679260253906,295.1991932473082,292.8040285887654,293.86213051070933,791600
2020-02-20,289.76434326171875,294.525786240096,286.15719838568145,292.7943684416062,900900
2020-02-21,286.2341613769531,292.4095768392405,284.1179580177465,289.14873320280344,1173200
2020-02-24,275.5186767578125,281.54984503162893,267.41944619868747,277.45211684808316,1996800
2020-02-25,273.9507141113281,290.14923089659993,272.76758896315573,286.21501100258547,3430400
2020-02-26,269.4201354980469,279.84718866073683,268.0542459873138,275.3743334997672,2449200
2020-02-27,258.53131103515625,267.97722937307,258.1754107239864,263.81219179056103,2246700
2020-02-28,255.72251892089844,255.9822227729655,245.85336157208488,249.7298385908165,2899400
2020-03-02,270.4685974121094,270.6128773746218,253.68336305919627,256.5594512803799,2520500
2020-03-03,258.0215759277344,273.8160804595782,254.11624112878883,270.25701762269136,2015100
2020-03-04,274.672119140625,275.6051687019953,260.21467984147284,263.7737421324798,2551100
2020-03-05,276.2400817871094,279.16428343938395,264.6587578794118,265.62066361390697,2418800
2020-03-06,265.65899658203125,271.0745280744798,257.92529916755876,265.9187297981648,1913900
2020-03-09,250.13389587402344,258.97380911131137,240.47635715141584,248.4217053853063,2138600
2020-03-10,259.38739013671875,259.82022991440715,248.14271468322542,259.82022991440715,2541500
2020-03-11,251.17276000976562,256.14582437179894,246.32474805980866,253.8661130286423,1848500
2020-03-12,228.8758087158203,248.1524041404187,226.971239838185,235.7534275213174,3430300
2020-03-13,251.2978057861328,251.44208573663173,226.04778702293288,240.47636917333284,2399200
2020-03-16,214.91856384277344,235.6572611664921,213.90857469219085,223.16210198277534,2642500
2020-03-17,230.05894470214844,231.6076131982934,207.94473120151602,219.80502819171065,2901100
2020-03-18,216.49612426757812,223.42184241440955,206.87706720877998,217.4291592989666,2103300
2020-03-19,207.665771484375,216.41911713883658,202.500343803469,215.81311199548554,2340900
